CDIddGO;GTIN;DESCRIO;UN.;PR. ATUAL;ESTQ. DISP.;PRE�O EFETIVO;FIG.ICMS/ICMS-ST;FIG.PIS/COFINS;NCM;
5410;7898962227107;ESSENCIA NARGUILE ZIGGY 50G FRUTTI;UN;13;0;8,7;60;1;24031100;
5413;7908479402116;ESSENCIA NARGUILE ZIGGY 50G GRAPE STARBUST;UN;13;0;8,7;60;1;24031100;
5406;7898927097684;ESSENCIA NARGUILE ZIGGY 50G HAPOCALYX MINT;UN;13;0;8,7;60;1;24031100;
5409;7898965792053;ESSENCIA NARGUILE ZIGGY 50G LARANJOLA TROPICAL;UN;13;0;8,5;60;1;24031100;
5412;7908479402178;ESSENCIA NARGUILE ZIGGY 50G MANGA TROPICAL;UN;13;0;0;60;1;17049020;
5414;7908479402161;ESSENCIA NARGUILE ZIGGY 50G MIX DUAS GOIABAS;UN;13;0;8,5;60;1;17049020;
9949;7908479402413;ESSENCIA NARGUILE ZIGGY 50G SORVETE PISTACHE;UN;13;0;8,5;60;1;24031100;
11359;;ESSENCIA NARGUILE ZIGGY 50G TANGER BOMB;UN;13;0;8,7;60;1;24031100;
11024;7898965792046;ESSENCIA NARGUILE ZIGGY 50G TROPICAL;UN;13;0;8,5;60;1;24031100;
5408;7898927097820;ESSENCIA NARGUILE ZIGGY 50G WATERMELON BOMB;UN;13;0;8,5;60;1;24031100;
7361;7908479402109;ESSENCIA NARGUILE ZIGGY 50G YOGURT;UN;13;0;8,5;60;1;24031100;
5415;7908479402130;ESSENCIA NARGUILE ZIGGY MIX 50G MORANGO LARANJA;UN;13;0;0;60;1;17049020;
5520;7899776000016;ESTALOS SALAO FANTASMINHA KIDS 15 UND;UN;2,99;0;1,144;17;1;36041000;
7787;7898508127717;ESTOJO TRILHARTY ESCOLAR FOOTBALL;UN;12,99;0;11,8;17;1;42023900;
6110;;ETIQUETA MX C/1000;UN;0;0;0;17;1;48219000;
5737;;ETIQUETADORA PRECO;UN;0;0;39,69;17;1;96110000;
11826;7896965702140;EVITA MOFO SANI SOL 20G COM SUPORTE;UN;3,99;0;2,4917;17;1;38089919;
7561;7896366205974;EVITA MOFO SECABEM 130G FLORAL;UN;8,69;0;0;17;1;38249979;
4453;7896366205950;EVITA MOFO SECABEM 130G FRESH;UN;8,69;0;5,3;17;1;38249979;
4452;7896366205967;EVITA MOFO SECABEM 130G NEUTRO;UN;8,69;0;5,3;17;1;38249979;
7551;;EVITA MOFO SECABEM 130G SORTIDO;UN;7,99;0;5,2983;17;1;28272010;
11393;7896586817865;EXTENSAO DANEVA 3M SORT;UN;31,5;0;20,1417;17;1;85444900;
11392;7896586814956;EXTENSAO DANEVA 5M POP SPIN;UN;31,5;0;23,415;17;1;85444900;
11394;7896586817872;EXTENSAO DANEVA 5M SORT;UN;31,5;0;27,0517;17;1;85444900;
7791;7891128023865;EXTENSAO GRUPO PERLEX 3M;UN;21,99;0;13,76;17;1;85444200;
7792;7891128023933;EXTENSAO GRUPO PERLEX 5M;UN;31,5;0;19,64;17;1;85444200;
9426;7896586816554;EXTENSAO LEGRAND 3M 2 PINO;UN;47,99;0;23,68;17;1;85444900;
9423;7896586817797;EXTENSAO LEGRAND 3M 3 PINO;UN;59,99;0;33,65;17;1;85444900;
9425;7896586816561;EXTENSAO LEGRAND 5M 2 PINO;UN;54,99;0;30,5333;17;1;85444900;
9424;7896586817803;EXTENSAO LEGRAND 5M 3 PINO;UN;55;0;39,9;17;1;85444900;
10976;7899659901041;EXTRATO DE TOMATE BONARE 300G SACHE;UN;2,49;0;0;17;1;20029000;
11250;7897517206284;EXTRATO DE TOMATE FUGINI 300G SACHE;UN;2,79;0;1,8483;17;1;20029000;
1494;7896036000793;EXTRATO TOMATE ELEFANTE CAIXA 135G;UN;4,99;0;3,32;17;1;20029000;
1497;7896036000809;EXTRATO TOMATE ELEFANTE CAIXA 275G;UN;6,99;0;4,93;17;1;20029000;
4964;7896036097816;EXTRATO TOMATE ELEFANTE CAIXA 280G;UN;5,79;0;0;17;1;20029000;
1496;7896036000823;EXTRATO TOMATE ELEFANTE CAIXA 535G;UN;12,5;0;9,1767;17;1;20029000;
1508;7896036097328;EXTRATO TOMATE ELEFANTE LATA 340G CEBOLA ALHO;UN;5,99;0;0;17;1;20029000;
1505;7896036096673;EXTRATO TOMATE ELEFANTE LATA 850G;UN;17,99;7;11,99;17;1;20029000;
1499;7896036000717;EXTRATO TOMATE ELEFANTE POTE 300G;UN;8,99;27;5,2058;17;1;20029000;
